CMT_Corner_ID,Street_Name1,Street_Name2,Borough,Community_District,Block,Lot,Complaint_ID,Complaint_Date,Temp_Repair_Feasible,Temp_Repair_Date,Temp_Repair_Type,Second_Temp_Repair_Needed,Date_Second_Temp_Repair,BulkComplaint
1132060,CELESTE COURT,CHANNEL AVENUE,BROOKLYN,315,8946,944,311-12184471,10/20/2022,No,,,No,,No
1090536,1 AVENUE,EAST 56 STREET,MANHATTAN,106,1349,7501,311-12074394,10/11/2022,Yes,11/19/2022,Other,No,,No
1179298,INDEPENDENCE AVENUE,WEST 232 STREET,BRONX,208,5749,745,DOT-600197-W0W9,06/10/2023,No,,,No,,No
1038108,28 STREET,QUEENS PLAZA,QUEENS,402,417,2,DOT-518867-P1C3,09/21/2021,Yes,11/04/2021,Other,No,,No
1073446,260 STREET,NASSAU BOULEVARD,QUEENS,411,8400,24,DOT-581072-Q4G8,02/07/2023,Yes,09/19/2023,Other,No,,No
1088111,DYER AVENUE,WEST 34 STREET,MANHATTAN,104,732,21,DOT-524248-Z7P5,10/28/2021,No,,,No,,No
1126080,CLARENDON ROAD,EAST 23 STREET,BROOKLYN,314,5187,32,311-06181408,05/06/2021,Yes,06/08/2021,Other,No,,No
1169347,61 STREET,63 STREET,QUEENS,402,2322,1,311-18365955,04/23/2024,No,,Other,No,,No
1090562,1 AVENUE,EAST 53 STREET,MANHATTAN,106,1364,47,DOT Internal,12/11/2024,Yes,01/13/2025,Other,No,,No
1148955,NAUGHTON AVENUE,VERA STREET,STATEN ISLAND,502,3549,68,DOT-600098-T6M9,06/09/2023,No,,,No,,No
1112139,LEWIS AVENUE,MADISON STREET,BROOKLYN,303,1639,43,DOT Internal,11/12/2019,No,,,No,,Yes
1007959,EAST 171 STREET,MORRIS AVENUE,BRONX,204,2787,1,Claremont Park Area (BULK COMPLAINT),04/18/2022,No,,,No,,Yes
1108565,DEKALB AVENUE,UNIVERSITY PLAZA,BROOKLYN,302,149,60,311-06094868,04/28/2021,Yes,06/12/2021,Other,No,,No
1104227,BEDFORD AVENUE,NORTH 7 STREET,BROOKLYN,301,2327,22,DOT-454507-Y8W8,03/10/2020,No,,,No,,No
1034910,67 DRIVE,BOOTH STREET,QUEENS,406,3173,13,311-06236565,05/12/2021,Yes,06/16/2021,Other,No,,No
1137782,12 AVENUE,71 STREET,BROOKLYN,310,6176,36,311-04232663,10/09/2020,No,,,No,,No
2001179,BLUE SLIP,COMMERCIAL STREET,BROOKLYN,301,2472,7501,DOT-637755-R9N2,02/27/2024,No,,,No,,No
1088980,7 AVENUE,WEST 59 STREET,MANHATTAN,105,1111,1,DOT-538381-Z7D4,03/21/2022,Yes,03/30/2022,Other,No,,No
1108014,PACIFIC STREET,WASHINGTON AVENUE,BROOKLYN,308,1132,7501,311-17307031,01/17/2024,Yes,02/22/2024,Other,No,,No
1145164,EASTERN PARKWAY,KINGSTON AVENUE,BROOKLYN,308,1272,6,DOT-521228-T8W3,10/07/2021,No,,,No,,Yes
1113599,RALPH AVENUE,ST JOHNS PLACE,BROOKLYN,308,1473,9,311-13311273,01/31/2023,Yes,02/10/2023,Other,No,,No
1030589,CATALPA AVENUE,ONDERDONK AVENUE,QUEENS,405,3465,27,311-11389221,08/13/2022,Yes,08/30/2022,Other,No,,No
1179173,FRANKLIN PLACE,WHITE STREET,MANHATTAN,101,175,7503,311-02643983,06/01/2020,No,,,No,,No
1163628,PEARSON STREET,WILD AVENUE,STATEN ISLAND,502,2665,120,DOT-543948-V8C8,04/28/2022,Yes,06/11/2022,Other,No,,No
1370897,AVENUE OF THE AMERICAS,WEST 23 STREET,MANHATTAN,105,824,28,DOT-484404-F4Y2,12/08/2020,No,,,No,,No
2000105,11 AVENUE,135 STREET,QUEENS,407,4014,2,311-05470358,02/20/2021,No,,,No,,No
1091222,WEST 82 STREET,WEST END AVENUE,MANHATTAN,107,1244,72,311-18326027,04/19/2024,Yes,04/29/2024,Other,No,,No
1107245,JORALEMON STREET,SIDNEY PLACE,BROOKLYN,302,263,38,311-19370292,07/17/2024,Yes,08/21/2024,Other,No,,No
1073983,CROSS BAY BOULEVARD,NOEL ROAD,QUEENS,414,15311,8,311-05700915,03/16/2021,No,,,No,,No
1088138,9 AVENUE,WEST 34 STREET,MANHATTAN,104,731,48,311-16334055,10/24/2023,No,,,No,,No
1139765,KENT AVENUE,PENN STREET,BROOKLYN,301,2216,6,311-13567753,02/23/2023,No,,,No,,No
1004073,EAST 173 STREET,MORRIS AVENUE,BRONX,204,2824,15,Claremont Park Area (BULK COMPLAINT),04/18/2022,No,,,No,,Yes
1128417,8 AVENUE,42 STREET,BROOKLYN,307,923,1,311-09931556,04/10/2022,Yes,04/21/2022,Other,No,,No
1008010,EAST 173 STREET,WEEKS AVENUE,BRONX,204,2792,58,Claremont Park Area (BULK COMPLAINT),04/18/2022,No,,,No,,Yes
1088436,8 AVENUE,WEST 28 STREET,MANHATTAN,104,777,1,DOT Internal,09/29/2022,Yes,09/30/2022,Other,No,,No
